contig	start	end	SRG_name	SRG_start	SRG_end	SRG_length	SRG_sense
LCP06093_contig2	906000	982000	LCP06093_duf37231330	939364	940115	233	-
LCP06093_contig2	906000	982000	LCP06093_fre928	944552	946290	886	-
LCP06093_contig2	2634000	2720000	LCP06093_myb485	2664646	2664834	91	+
LCP06093_contig2	2634000	2720000	LCP06093_duf37231327	2675093	2677475	527	+
LCP06093_contig2	2634000	2720000	LCP06093_tyr1653	2717022	2719054	949	-
LCP06093_contig2	4542000	4602000	LCP06093_tyr1651	4542912	4545132	752	+
LCP06093_contig2	4840000	4961000	LCP06093_duf37231329	4919185	4921616	1585	+
LCP06093_contig2	4840000	4961000	LCP06093_tyr1650	4921958	4924028	894	-
LCP06093_contig3	671000	832000	LCP06093_duf37231331	732099	734373	370	-
LCP06093_contig3	671000	832000	LCP06093_tyr1654	825381	830848	2919	-
LCP06093_contig4	807000	1169000	LCP06093_tyr1656	807350	810993	1060	+
LCP06093_contig4	807000	1169000	LCP06093_duf37231335	915727	916954	158	-
LCP06093_contig4	807000	1169000	LCP06093_tyr1655	1148361	1150229	943	+
LCP06093_contig4	2821000	3637881	LCP06093_tyr1657	2900787	2903524	1294	+
LCP06093_contig4	2821000	3637881	LCP06093_duf37231332	3073914	3076199	206	-
LCP06093_contig4	2821000	3637881	LCP06093_duf37231333	3471221	3473516	333	+
LCP06093_contig4	2821000	3637881	LCP06093_duf37231334	3574499	3577680	1070	+
LCP06093_contig5	608000	952000	LCP06093_duf37231337	800861	801884	242	+
LCP06093_contig5	608000	952000	LCP06093_duf37231336	807190	808068	331	+
LCP06093_contig5	608000	952000	LCP06093_tyr1659	821693	824363	845	-
LCP06093_contig5	2626000	2774498	LCP06093_tyr1658	2641146	2642897	337	+
LCP06093_contig7	620000	690000	LCP06093_fre933	653112	654846	901	+
LCP06093_contig7	620000	690000	LCP06093_duf37231338	660054	662969	1022	+
LCP06093_contig7	620000	690000	LCP06093_tyr1660	686020	688947	1656	-
